marker,stem,asp,luokka,freq,infl,prof,lang
suffix,CB/HCB,imp,eka,high,past,C2,chi
suffix,CB/HCB,imp,eka,high,past,B2,fin
suffix,CB/HCB,imp,eka,high,past,A2,fr
suffix,CB/HCB,imp,eka,high,infinite,B2,fin
suffix,CB/HCB,imp,eka,high,infinite,B2,fin
suffix,CB/HCB,imp,eka,high,infinite,B2,fin
suffix,CB/HCB,imp,eka,high,infinite,B2,fin
suffix,CB/HCB,imp,eka,high,infinite,B2,fin
suffix,CB/HCB,imp,eka,high,infinite,B2,eng
suffix,CB/HCB,imp,eka,high,infinite,B2,eng
suffix,CB/HCB,imp,eka,high,infinite,B2,fin
suffix,CB/HCB,imp,eka,high,infinite,B2,fin
suffix,CB/HCB,imp,eka,high,infinite,B2,fin
suffix,CB/HCB,imp,eka,high,infinite,B2,fin
suffix,CB/HCB,imp,eka,high,infinite,A2,eng
suffix,CB/HCB,imp,eka,high,infinite,B2,eng
suffix,CB/HCB,imp,eka,high,infinite,A2,fr
simplex,HCB/CB,imp,eka,high,infinite,B2,eng
simplex,CB/HCB,imp,viides,high,past,B2,eng
simplex,CB/HCB,imp,viides,high,past,B2,fin
suffix,CB/HCB,imp,eka,high,past,B2,eng
suffix,CB/HCB,imp,eka,high,past,B2,eng
suffix,CB/HCB,imp,eka,high,past,A2,eng
suffix,CB/HCB,imp,eka,high,past,B2,eng
suffix,CB/HCB,imp,eka,high,infinite,A2,fr
suffix,CB/HCB,imp,eka,high,infinite,A2,eng
suffix,CB/HCB,imp,eka,high,infinite,B2,eng
suffix,CB/HCB,imp,eka,high,infinite,B2,eng
suffix,CB/HCB,imp,eka,high,infinite,B2,eng
suffix,CB/HCB,imp,eka,high,infinite,B2,eng
suffix,CB/HCB,imp,eka,high,infinite,B1,fr
suffix,CB/HCB,imp,eka,high,infinite,A2,eng
suffix,CB/HCB,imp,eka,high,infinite,B2,fin
suffix,CB/HCB,imp,eka,high,infinite,A2,fr
suffix,CB/HCB,imp,eka,high,infinite,B2,fin
suffix,CB/HCB,imp,eka,high,infinite,B1,fr
suffix,CB/HCB,imp,eka,high,non-past,B2,fin
suffix,CB/HCB,imp,eka,high,non-past,B2,fin
suffix,CB/HCB,imp,eka,high,past,B2,eng
suffix,CB/HCB,imp,eka,high,past,B2,fin
suffix,CB/HCB,imp,eka,high,past,B1,ger
suffix,CB/HCB,imp,eka,high,past,B1,ger
suffix,CB/HCB,imp,eka,high,past,B1,ger
suffix,CB/HCB,imp,eka,high,past,B2,eng
suffix,CB/HCB,imp,eka,high,infinite,B1,eng
suffix,CB/HCB,imp,eka,high,infinite,B1,ger
suffix,CB/HCB,imp,eka,high,non-past,B2,fin
suffix,CB/HCB,imp,eka,low,past,B1,nor
suffix,CB/HCB,imp,eka,low,past,B2,fin
suffix,CB/HCB,imp,eka,low,infinite,B2,fin
suffix,CB/HCB,imp,eka,low,infinite,B2,fin
suffix,CB/HCB,imp,eka,low,past,B1,eng
suffix,CB/HCB,imp,eka,low,infinite,B2,fin
suffix,CB/HCB,imp,eka,low,past,A2,eng
suffix,CB/HCB,imp,viides,low,infinite,B2,fin
suffix,CB/HCB,imp,eka,low,non-past,B2,fin
suffix,CB/HCB,imp,eka,low,past,A2,fr
suffix,CB/HCB,imp,eka,low,non-past,A2,eng
suffix,CB/HCB,imp,eka,low,non-past,A2,eng
suffix,CB/HCB,imp,eka,low,non-past,A2,fr
suffix,CB/HCB,imp,eka,low,past,B2,fin
suffix,CB/HCB,imp,eka,low,infinite,B1,eng
suffix,CB/HCB,imp,eka,low,non-past,B2,fin
suffix,CB/HCB,imp,eka,same,infinite,B2,eng
suffix,CB/HCB,imp,eka,same,infinite,B2,eng
suffix,CB/HCB,imp,eka,same,infinite,B2,fin
simplex,CB/HCB,imp,viides,same,non-past,B2,fin
suffix,CB/HCB,imp,eka,same,past,B2,fin
suffix,CB/HCB,imp,eka,same,past,B2,fin
suffix,CB/HCB,imp,eka,same,past,B2,ger
suffix,CB/HCB,imp,eka,same,past,B2,fin
suffix,CB/HCB,imp,eka,same,past,B2,eng
suffix,CB/HCB,imp,eka,same,past,B1,eng
suffix,CB/HCB,imp,eka,same,past,B2,fin
suffix,CB/HCB,imp,eka,same,past,B2,fin
prefix+suffix,CB/HCB,imp,eka,same,infinite,B2,eng
prefix+suffix,CB/HCB,imp,eka,same,infinite,B2,eng
prefix+suffix,CB/HCB,imp,eka,same,infinite,B2,eng
prefix+suffix,CB/HCB,imp,eka,same,infinite,B2,fin
